content_author_brid.content_id,content_author_brid.author_id,content_author_brid.content_type_key
15689,7170,1
15705,7178,1
15713,7185,1
15738,7185,1
15714,7187,1
15779,7191,1
15839,7191,1
15722,7194,1
15731,7203,1
15744,7208,1
15747,7214,1
15755,7220,1
15852,7224,1
15906,7226,1
15776,7229,1
15843,7230,1
15909,7235,1
15801,7242,1
15809,7244,1
15840,7244,1
15824,7250,1
15851,7259,1
15863,5035,1
15911,7305,1
15915,7308,1
15939,7316,1
16005,7319,1
15965,7325,1
15990,7334,1
16017,7340,1
16073,7353,1
15935,4853,1
16095,4853,1
16040,7361,1
8814,4002,1
8238,3819,1
8796,3993,1
8250,3822,1
8784,3990,1
8793,3990,1
8253,3825,1
8766,3981,1
8316,3837,1
8337,3840,1
8349,3840,1
8358,3840,1
13943,3840,1
8361,3843,1
8412,3867,1
8778,3960,1
8439,3870,1
8610,3915,1
8739,3915,1
8703,3954,1
8697,3948,1
8682,3933,1
8649,3921,1
8223,3813,1
18,7,1
8157,7,1
8166,7,1
8175,7,1
8475,7,1
8595,7,1
8604,7,1
8709,7,1
8718,7,1
8994,7,1
9003,7,1
9012,7,1
14909,7,1
14780,6702,1
14786,6708,1
14790,6713,1
14813,6719,1
1506,21,1
6753,21,1
6756,331,1
1040,333,1
10202,41,1
11493,41,1
12543,41,1
9732,15,1
8556,89,1
415,137,1
620,214,1
1572,221,1
6543,237,1
701,238,1
10692,238,1
14031,238,1
6585,240,1
840,273,1
10720,282,1
10735,282,1
10787,282,1
10843,282,1
13388,282,1
903,294,1
913,294,1
921,294,1
930,294,1
937,294,1
941,294,1
963,294,1
8655,294,1
8613,347,1
8628,347,1
1050,357,1
1070,367,1
1119,381,1
1159,394,1
1490,533,1
11583,537,1
12142,537,1
13874,545,1
10290,548,1
1551,556,1
1621,582,1
1756,601,1
1643,627,1
1878,633,1
1824,645,1
1848,645,1
1900,645,1
2136,645,1
2316,645,1
2509,645,1
2879,645,1
3321,645,1
5745,645,1
6516,645,1
6564,645,1
1999,685,1
2005,685,1
2010,685,1
5938,685,1
10118,685,1
13722,685,1
14843,685,1
1894,771,1
15998,771,1
7008,789,1
1710,791,1
1839,873,1
2054,933,1
2120,988,1
15240,1008,1
2172,1040,1
2177,1044,1
2184,1044,1
2196,1050,1
2205,1050,1
2213,1052,1
2220,1053,1
2335,1120,1
2337,1123,1
2376,1153,1
2400,1173,1
15147,1184,1
2433,1195,1
14916,1200,1
2451,1209,1
2505,1254,1
2568,1296,1
12005,1296,1
8388,2893,1
5775,2898,1
5754,2912,1
7233,3501,1
7944,3687,1
14844,6731,1
14852,4855,1
14883,6740,1
14891,6746,1
14909,6749,1
14937,6756,1
14943,6758,1
14958,6765,1
14948,6770,1
14966,6774,1
14975,6780,1
16023,6788,1
14990,6797,1
15006,6804,1
15012,6810,1
15030,6822,1
15044,6831,1
11697,5364,1
15047,6837,1
15053,6843,1
15081,6851,1
15087,6858,1
15095,6863,1
15113,6866,1
15174,6872,1
15174,6879,1
15197,6888,1
15215,6891,1
15233,6894,1
15227,6896,1
15284,6900,1
15293,6906,1
15302,6915,1
15309,6918,1
15308,3942,1
15324,6924,1
15360,6924,1
15446,6924,1
15453,6924,1
15330,6926,1
15335,6932,1
11006,5056,1
15350,6942,1
15354,6950,1
15365,6956,1
15374,4618,1
15378,6965,1
15384,6972,1
15390,6978,1
15399,6984,1
15408,6993,1
15420,6998,1
15429,7004,1
15461,7011,1
15480,7017,1
15605,7017,1
15690,7017,1
16116,7017,1
15489,7023,1
15498,7029,1
15503,7035,1
15510,7044,1
15521,7049,1
15524,7050,1
15530,7058,1
15542,7065,1
15549,7073,1
15567,7082,1
15561,7091,1
15558,7101,1
15576,7107,1
15584,7115,1
12119,5537,1
15591,7122,1
11483,5297,1
15602,7131,1
15618,7137,1
15648,7140,1
15635,7146,1
15641,7149,1
15669,7157,1
15680,7161,1
15687,3453,1
15707,7181,1
15732,7185,1
15770,7185,1
15717,7190,1
15789,7191,1
15900,7191,1
15725,7197,1
15741,7206,1
