translator_dim.translator_key,translator_dim.translator_id,translator_dim.translator_name,translator_dim.translator_addr,translator_dim.mobile,translator_dim.phone,translator_dim.ordering,translator_dim.status,translator_dim.created_time,translator_dim.created_by,translator_dim.updated_time,translator_dim.updated_by,translator_dim.cmc_id,translator_dim.valid_from,translator_dim.valid_to,translator_dim.version,translator_dim.current,translator_dim.last_mofidied
188,549,Bùi Nga,N/A,N/A,N/A,0,ACT,2016-07-26 08:11:14.0,4,2016-07-26 08:11:14.0,4,549,2000-01-01 00:00:00.0,2200-01-01 00:00:00.0,1,1,2016-07-26 10:51:21.0
189,564,Lâm Thúy Kim,N/A,N/A,N/A,0,ACT,2016-08-04 16:10:23.0,4,2016-08-04 16:10:23.0,4,564,2000-01-01 00:00:00.0,2200-01-01 00:00:00.0,1,1,2016-08-08 11:56:46.0
190,566,Gia Phương,N/A,N/A,N/A,0,ACT,2016-08-05 16:05:38.0,4,2016-08-05 16:05:38.0,4,566,2000-01-01 00:00:00.0,2200-01-01 00:00:00.0,1,1,2016-08-26 11:16:17.0
191,579,Nguyễn Thị Thu Thủy,N/A,N/A,N/A,0,ACT,2016-12-21 10:06:09.0,146,2016-12-21 10:06:09.0,146,579,2000-01-01 00:00:00.0,2200-01-01 00:00:00.0,1,1,2016-12-21 10:59:27.0
192,581,An Nhiên,N/A,N/A,N/A,0,ACT,2017-02-08 08:39:15.0,146,2017-02-08 08:39:15.0,146,581,2000-01-01 00:00:00.0,2200-01-01 00:00:00.0,1,1,2017-02-09 15:45:22.0
193,584,Nguyên Hy,N/A,N/A,N/A,0,ACT,2017-02-08 09:05:39.0,146,2017-02-08 09:05:39.0,146,584,2000-01-01 00:00:00.0,2200-01-01 00:00:00.0,1,1,2017-03-10 16:24:51.0
194,593,Orkid,N/A,N/A,N/A,0,ACT,2017-03-08 15:27:46.0,214,2017-03-08 15:27:46.0,214,593,2000-01-01 00:00:00.0,2200-01-01 00:00:00.0,1,1,2017-03-20 08:34:59.0
195,600,Nguyễn Viết Chi,N/A,N/A,N/A,0,ACT,2017-03-10 15:27:28.0,214,2017-03-10 15:27:28.0,214,600,2000-01-01 00:00:00.0,2200-01-01 00:00:00.0,1,1,2017-03-20 08:34:59.0
196,8,Trần Thu Hiên,N/A,N/A,N/A,0,ACT,2015-09-21 10:25:12.0,214,2015-09-21 10:25:12.0,214,8,2000-01-01 00:00:00.0,2200-01-01 00:00:00.0,1,1,2018-09-10 23:22:06.0
197,456,Đặng Quang Hiếu,N/A,N/A,N/A,0,ACT,2016-05-26 09:50:14.0,214,2016-05-26 09:50:14.0,214,456,2000-01-01 00:00:00.0,2200-01-01 00:00:00.0,1,1,2018-09-10 23:22:07.0
198,464,Nguyễn Thị Kim Châu,N/A,N/A,N/A,0,ACT,2016-05-26 10:23:12.0,214,2016-05-26 10:23:12.0,214,464,2000-01-01 00:00:00.0,2200-01-01 00:00:00.0,1,1,2018-09-10 23:22:07.0
199,465,Bùi Thị Kiều Nga,N/A,N/A,N/A,0,ACT,2016-05-27 10:03:48.0,4,2016-05-27 10:03:48.0,4,465,2000-01-01 00:00:00.0,2200-01-01 00:00:00.0,1,1,2018-09-10 23:22:07.0
200,476,Bùi Thanh Châu,N/A,N/A,N/A,0,ACT,2016-05-30 10:21:44.0,214,2016-05-30 10:21:44.0,214,476,2000-01-01 00:00:00.0,2200-01-01 00:00:00.0,1,1,2018-09-10 23:22:07.0
201,486,Bùi Thị Ngọc Hương ,N/A,N/A,N/A,0,ACT,2016-06-07 10:34:25.0,214,2016-06-07 10:34:25.0,214,486,2000-01-01 00:00:00.0,2200-01-01 00:00:00.0,1,1,2018-09-10 23:22:07.0
202,492,Đặng Ngọc Thanh Thảo,N/A,N/A,N/A,0,ACT,2016-06-07 14:42:03.0,214,2016-06-07 14:42:03.0,214,492,2000-01-01 00:00:00.0,2200-01-01 00:00:00.0,1,1,2018-09-10 23:22:07.0
203,500,TriBookers,N/A,N/A,N/A,0,ACT,2016-06-07 16:21:36.0,214,2016-06-07 16:21:36.0,214,500,2000-01-01 00:00:00.0,2200-01-01 00:00:00.0,1,1,2018-09-10 23:22:07.0
204,501,Lê Văn Mậu,N/A,N/A,N/A,0,ACT,2016-06-08 16:06:03.0,214,2016-06-08 16:06:03.0,214,501,2000-01-01 00:00:00.0,2200-01-01 00:00:00.0,1,1,2018-09-10 23:22:07.0
205,504,Trần Thế Lâm,N/A,N/A,N/A,0,ACT,2016-06-08 16:06:20.0,214,2016-06-08 16:06:20.0,214,504,2000-01-01 00:00:00.0,2200-01-01 00:00:00.0,1,1,2018-09-10 23:22:07.0
206,522,Quế Chi,N/A,N/A,N/A,0,ACT,2016-06-16 16:40:45.0,4,2016-06-16 16:40:45.0,4,522,2000-01-01 00:00:00.0,2200-01-01 00:00:00.0,1,1,2018-09-10 23:22:07.0
207,527,Lê Thanh Dũng,N/A,N/A,N/A,0,ACT,2016-07-14 09:39:55.0,4,2016-07-14 09:39:55.0,4,527,2000-01-01 00:00:00.0,2200-01-01 00:00:00.0,1,1,2018-09-10 23:22:07.0
208,528,Quế Sơn,N/A,N/A,N/A,0,ACT,2016-07-14 15:06:25.0,4,2016-07-14 15:06:25.0,4,528,2000-01-01 00:00:00.0,2200-01-01 00:00:00.0,1,1,2018-09-10 23:22:07.0
209,531,Nguyên Giác,N/A,N/A,N/A,0,ACT,2016-07-14 15:44:33.0,4,2016-07-14 15:44:33.0,4,531,2000-01-01 00:00:00.0,2200-01-01 00:00:00.0,1,1,2018-09-10 23:22:07.0
210,533,Hiền Lê,N/A,N/A,N/A,0,ACT,2016-07-14 15:49:52.0,4,2016-07-14 15:49:52.0,4,533,2000-01-01 00:00:00.0,2200-01-01 00:00:00.0,1,1,2018-09-10 23:22:07.0
211,536,Mai Sơn,N/A,N/A,N/A,0,ACT,2016-07-14 15:55:15.0,4,2016-07-14 15:55:15.0,4,536,2000-01-01 00:00:00.0,2200-01-01 00:00:00.0,1,1,2018-09-10 23:22:07.0
212,539,Nguyễn Mạnh Hùng,N/A,N/A,N/A,0,ACT,2016-07-14 15:57:55.0,4,2016-07-14 15:57:55.0,4,539,2000-01-01 00:00:00.0,2200-01-01 00:00:00.0,1,1,2018-09-10 23:22:07.0
213,542,Việt Khôi,N/A,N/A,N/A,0,ACT,2016-07-14 16:40:00.0,4,2016-07-14 16:40:00.0,4,542,2000-01-01 00:00:00.0,2200-01-01 00:00:00.0,1,1,2018-09-10 23:22:07.0
214,545,Tạ Huyền,N/A,N/A,N/A,0,ACT,2016-07-14 16:48:08.0,4,2016-07-14 16:48:08.0,4,545,2000-01-01 00:00:00.0,2200-01-01 00:00:00.0,1,1,2018-09-10 23:22:07.0
215,551,Thanh Nhã,N/A,N/A,N/A,0,ACT,2016-07-26 08:29:09.0,4,2016-07-26 08:29:09.0,4,551,2000-01-01 00:00:00.0,2200-01-01 00:00:00.0,1,1,2018-09-10 23:22:07.0
216,567,Chơn Nguyên,N/A,N/A,N/A,0,ACT,2016-08-26 10:44:17.0,141,2016-08-26 10:44:17.0,141,567,2000-01-01 00:00:00.0,2200-01-01 00:00:00.0,1,1,2018-09-10 23:22:07.0
217,569,Siêu Thiền,N/A,N/A,N/A,0,ACT,2016-08-26 10:56:32.0,141,2016-08-26 10:56:32.0,141,569,2000-01-01 00:00:00.0,2200-01-01 00:00:00.0,1,1,2018-09-10 23:22:07.0
218,572,First News,N/A,N/A,N/A,0,ACT,2016-11-09 15:34:57.0,146,2016-11-09 15:35:43.0,146,572,2000-01-01 00:00:00.0,2200-01-01 00:00:00.0,1,1,2018-09-10 23:22:07.0
219,573,Lê Uyên Thảo ,N/A,N/A,N/A,0,ACT,2016-12-21 08:53:23.0,146,2016-12-21 08:53:23.0,146,573,2000-01-01 00:00:00.0,2200-01-01 00:00:00.0,1,1,2018-09-10 23:22:07.0
220,575,Ngọc Trung,N/A,N/A,N/A,0,ACT,2016-12-21 09:47:56.0,146,2016-12-21 09:47:56.0,146,575,2000-01-01 00:00:00.0,2200-01-01 00:00:00.0,1,1,2018-09-10 23:22:07.0
221,578,Hồng Tú,N/A,N/A,N/A,0,ACT,2016-12-21 09:48:12.0,146,2016-12-21 09:48:12.0,146,578,2000-01-01 00:00:00.0,2200-01-01 00:00:00.0,1,1,2018-09-10 23:22:07.0
222,590,Hương Châu,N/A,N/A,N/A,0,ACT,2017-03-08 15:11:00.0,214,2017-03-08 15:11:13.0,214,590,2000-01-01 00:00:00.0,2200-01-01 00:00:00.0,1,1,2018-09-10 23:22:07.0
223,597,Hiếu Tân,N/A,N/A,N/A,0,ACT,2017-03-10 15:26:06.0,214,2017-03-10 15:26:06.0,214,597,2000-01-01 00:00:00.0,2200-01-01 00:00:00.0,1,1,2018-09-10 23:22:07.0
224,602,Lê Thị Hoa,N/A,N/A,N/A,0,ACT,2017-04-04 16:07:31.0,214,2017-04-04 16:07:53.0,214,602,2000-01-01 00:00:00.0,2200-01-01 00:00:00.0,1,1,2018-09-10 23:22:07.0
225,603,Thinhnv Test 01,N/A,N/A,N/A,0,ACT,2019-05-14 10:02:28.0,214,2019-05-14 10:02:28.0,214,603,2000-01-01 00:00:00.0,2200-01-01 00:00:00.0,1,1,2019-05-14 11:21:11.0
226,605,Nhóm dịch 1,N/A,N/A,N/A,0,ACT,2019-05-16 13:59:34.0,214,2019-05-16 13:59:34.0,214,605,2000-01-01 00:00:00.0,2200-01-01 00:00:00.0,1,1,2019-06-19 23:21:17.0
