content_category_brid.content_id,content_category_brid.category_id,content_category_brid.content_type_key,content_category_brid.content_key,content_category_brid.category_key,content_category_brid.status,content_category_brid.updated_time,content_category_brid.last_mofidied
30465,90,1,13329,73,ACT,2021-03-18 07:56:24.0,2021-03-18 11:21:14.0
30468,73,1,13337,101,ACT,2021-03-18 07:56:31.0,2021-03-18 11:21:14.0
30468,155,1,13337,26,ACT,2021-03-18 07:56:31.0,2021-03-18 11:21:14.0
30471,73,1,13331,101,ACT,2021-03-18 07:56:38.0,2021-03-18 11:21:14.0
30471,155,1,13331,26,ACT,2021-03-18 07:56:38.0,2021-03-18 11:21:14.0
30474,35,1,13333,60,ACT,2021-03-18 07:56:46.0,2021-03-18 11:21:14.0
30474,95,1,13333,89,ACT,2021-03-18 07:56:46.0,2021-03-18 11:21:14.0
30475,61,1,13336,48,ACT,2021-03-18 07:57:33.0,2021-03-18 11:21:14.0
30475,73,1,13336,101,ACT,2021-03-18 07:57:33.0,2021-03-18 11:21:14.0
30478,41,1,13324,40,ACT,2021-03-18 08:10:53.0,2021-03-18 11:21:14.0
30478,71,1,13324,41,ACT,2021-03-18 08:10:53.0,2021-03-18 11:21:14.0
30454,309,1,13327,1,ACT,2021-03-18 08:11:13.0,2021-03-18 11:21:14.0
30477,43,1,13325,88,ACT,2021-03-18 08:11:51.0,2021-03-18 11:21:14.0
30477,71,1,13325,41,ACT,2021-03-18 08:11:51.0,2021-03-18 11:21:14.0
30483,309,1,13338,1,ACT,2021-03-18 14:11:21.0,2021-03-18 23:21:14.0
30483,310,1,13338,1,ACT,2021-03-18 14:11:21.0,2021-03-18 23:21:14.0
30481,35,1,13339,60,ACT,2021-03-18 14:11:28.0,2021-03-18 23:21:14.0
30481,173,1,13339,35,ACT,2021-03-18 14:11:28.0,2021-03-18 23:21:14.0
30487,106,1,13344,63,ACT,2021-03-19 07:34:02.0,2021-03-19 11:21:15.0
30487,141,1,13344,42,ACT,2021-03-19 07:34:02.0,2021-03-19 11:21:15.0
30484,309,1,13345,1,ACT,2021-03-19 07:36:24.0,2021-03-19 11:21:15.0
30489,79,1,13342,100,ACT,2021-03-19 07:36:28.0,2021-03-19 11:21:15.0
30489,147,1,13342,105,ACT,2021-03-19 07:36:28.0,2021-03-19 11:21:15.0
30490,73,1,13347,101,ACT,2021-03-19 17:16:12.0,2021-03-19 23:21:16.0
30490,155,1,13347,26,ACT,2021-03-19 17:16:12.0,2021-03-19 23:21:17.0
30493,35,1,13346,60,ACT,2021-03-19 17:16:24.0,2021-03-19 23:21:17.0
30493,91,1,13346,43,ACT,2021-03-19 17:16:24.0,2021-03-19 23:21:17.0
30495,309,1,13348,1,ACT,2021-03-19 17:21:41.0,2021-03-20 11:21:14.0
30502,79,1,13353,100,ACT,2021-03-19 17:22:16.0,2021-03-20 11:21:14.0
30502,147,1,13353,105,ACT,2021-03-19 17:22:16.0,2021-03-20 11:21:14.0
30504,79,1,13349,100,ACT,2021-03-19 17:22:24.0,2021-03-20 11:21:14.0
30504,146,1,13349,45,ACT,2021-03-19 17:22:24.0,2021-03-20 11:21:14.0
30504,153,1,13349,106,ACT,2021-03-19 17:22:24.0,2021-03-20 11:21:14.0
30507,79,1,13350,100,ACT,2021-03-19 17:22:29.0,2021-03-20 11:21:14.0
30507,147,1,13350,105,ACT,2021-03-19 17:22:29.0,2021-03-20 11:21:14.0
30507,153,1,13350,106,ACT,2021-03-19 17:22:29.0,2021-03-20 11:21:14.0
30421,71,1,13352,41,ACT,2021-03-19 17:23:54.0,2021-03-20 11:21:14.0
30421,315,1,13352,1,ACT,2021-03-19 17:23:54.0,2021-03-20 11:21:14.0
30423,71,1,13356,41,ACT,2021-03-19 17:23:58.0,2021-03-21 11:21:13.0
30423,315,1,13356,1,ACT,2021-03-19 17:23:58.0,2021-03-21 11:21:13.0
30510,79,1,13359,100,ACT,2021-03-21 08:04:11.0,2021-03-21 11:21:13.0
30510,146,1,13359,45,ACT,2021-03-21 08:04:11.0,2021-03-21 11:21:13.0
30510,149,1,13359,76,ACT,2021-03-21 08:04:11.0,2021-03-21 11:21:13.0
30510,153,1,13359,106,ACT,2021-03-21 08:04:11.0,2021-03-21 11:21:13.0
30511,79,1,13363,100,ACT,2021-03-22 08:26:52.0,2021-03-22 11:21:14.0
30511,146,1,13363,45,ACT,2021-03-22 08:26:52.0,2021-03-22 11:21:14.0
30511,149,1,13363,76,ACT,2021-03-22 08:26:52.0,2021-03-22 11:21:14.0
