content_publishing_house_brid.content_id,content_publishing_house_brid.publishing_house_id,content_publishing_house_brid.content_type_key,content_publishing_house_brid.status
30862,40,1,1
30862,59,1,1
30864,40,1,1
30864,242,1,1
30864,777,1,1
30865,40,1,1
30865,780,1,1
30865,783,1,1
30867,40,1,1
30867,622,1,1
30867,786,1,1
30868,12,1,1
30868,40,1,1
30871,40,1,1
30871,64,1,1
30874,40,1,1
30874,59,1,1
30877,40,1,1
30877,59,1,1
30880,40,1,1
30880,789,1,1
30880,790,1,1
30883,40,1,1
30883,472,1,1
30883,784,1,1
30885,40,1,1
30885,59,1,1
30886,40,1,1
30886,798,1,1
30886,801,1,1
30888,40,1,1
30888,59,1,1
30889,40,1,1
30889,690,1,1
30889,691,1,1
30892,40,1,1
30892,64,1,1
30894,40,1,1
30894,643,1,1
30894,646,1,1
30895,40,1,1
30895,64,1,1
30897,40,1,1
30897,817,1,1
30897,822,1,1
30900,40,1,1
30900,802,1,1
30900,805,1,1
30901,40,1,1
30901,407,1,1
30904,40,1,1
30904,604,1,1
30904,607,1,1
30907,40,1,1
30907,765,1,1
30907,768,1,1
30909,40,1,1
30909,579,1,1
30909,582,1,1
30912,40,1,1
30912,175,1,1
30915,40,1,1
30915,369,1,1
30916,40,1,1
30916,369,1,1
30919,40,1,1
30919,369,1,1
30921,40,1,1
30921,369,1,1
30924,40,1,1
30924,369,1,1
30927,40,1,1
30927,369,1,1
30930,40,1,1
30930,369,1,1
30933,40,1,1
30933,417,1,1
30936,40,1,1
30936,64,1,1
30939,40,1,1
30939,64,1,1
30940,40,1,1
30940,808,1,1
30940,811,1,1
30942,40,1,1
30942,64,1,1
30945,40,1,1
30945,64,1,1
30946,40,1,1
30946,64,1,1
30948,40,1,1
30948,64,1,1
30951,40,1,1
30951,216,1,1
30951,230,1,1
30954,40,1,1
30954,537,1,1
30955,40,1,1
30955,762,1,1
30957,40,1,1
30957,624,1,1
30960,40,1,1
30960,780,1,1
30960,783,1,1
30961,40,1,1
30961,64,1,1
30963,40,1,1
30963,64,1,1
30966,40,1,1
30966,622,1,1
30966,786,1,1
30969,40,1,1
30969,387,1,1
30972,40,1,1
30972,401,1,1
30973,40,1,1
30973,789,1,1
30973,790,1,1
30976,40,1,1
30976,472,1,1
30976,784,1,1
30979,40,1,1
30979,64,1,1
30982,40,1,1
30982,64,1,1
30984,40,1,1
30984,64,1,1
30987,40,1,1
30987,64,1,1
30990,40,1,1
30990,64,1,1
30991,40,1,1
30991,643,1,1
30991,646,1,1
30994,40,1,1
30994,798,1,1
30994,801,1,1
30997,40,1,1
30997,765,1,1
30997,768,1,1
30999,40,1,1
30999,690,1,1
30999,691,1,1
31000,40,1,1
31000,64,1,1
31003,40,1,1
31003,64,1,1
31006,40,1,1
31006,64,1,1
31008,40,1,1
31008,604,1,1
31008,607,1,1
31009,40,1,1
31009,407,1,1
31012,40,1,1
31012,64,1,1
31014,40,1,1
31014,817,1,1
31014,822,1,1
31015,40,1,1
31015,802,1,1
31015,805,1,1
31017,40,1,1
31017,579,1,1
31017,582,1,1
31018,40,1,1
31018,175,1,1
31020,40,1,1
31020,242,1,1
31020,777,1,1
31023,40,1,1
31023,369,1,1
31026,40,1,1
31026,369,1,1
31027,40,1,1
31027,369,1,1
31029,40,1,1
31029,369,1,1
31032,40,1,1
31032,369,1,1
31035,40,1,1
31035,369,1,1
31038,40,1,1
31038,369,1,1
31041,40,1,1
31041,417,1,1
31042,40,1,1
31042,417,1,1
31044,40,1,1
31044,369,1,1
31047,40,1,1
31047,369,1,1
31048,40,1,1
31048,369,1,1
31050,40,1,1
31050,369,1,1
31051,40,1,1
31051,369,1,1
31054,40,1,1
31054,369,1,1
31057,40,1,1
31057,369,1,1
31060,40,1,1
31060,808,1,1
31060,811,1,1
31063,40,1,1
31063,472,1,1
31063,784,1,1
31065,40,1,1
31065,64,1,1
31066,12,1,1
31066,40,1,1
31068,40,1,1
31068,472,1,1
31068,784,1,1
31069,40,1,1
31069,64,1,1
31072,40,1,1
31072,64,1,1
31074,40,1,1
31074,624,1,1
31077,40,1,1
31077,216,1,1
31077,230,1,1
31078,40,1,1
31078,537,1,1
31081,40,1,1
31081,64,1,1
31084,40,1,1
31084,387,1,1
31086,40,1,1
31086,780,1,1
31086,783,1,1
31087,40,1,1
31087,64,1,1
31089,40,1,1
31089,622,1,1
31089,786,1,1
31090,40,1,1
31090,401,1,1
31093,40,1,1
31093,789,1,1
31093,790,1,1
31096,40,1,1
31096,64,1,1
31099,40,1,1
31099,690,1,1
31099,691,1,1
31101,40,1,1
31101,604,1,1
31101,607,1,1
31104,40,1,1
31104,407,1,1
31105,40,1,1
31105,64,1,1
31107,40,1,1
31107,802,1,1
31107,805,1,1
31110,40,1,1
31110,817,1,1
31110,822,1,1
31111,40,1,1
31111,798,1,1
31111,801,1,1
31113,40,1,1
31113,175,1,1
31116,40,1,1
31116,579,1,1
31116,582,1,1
31119,40,1,1
31119,478,1,1
31122,40,1,1
31122,643,1,1
31122,646,1,1
31123,40,1,1
31123,808,1,1
31123,811,1,1
31125,40,1,1
31125,387,1,1
31126,40,1,1
31126,401,1,1
31129,40,1,1
31129,216,1,1
31129,230,1,1
31132,40,1,1
31132,537,1,1
31135,40,1,1
31135,624,1,1
31137,40,1,1
31137,64,1,1
31140,40,1,1
31140,64,1,1
31141,40,1,1
31141,765,1,1
31141,768,1,1
31144,12,1,1
31144,40,1,1
31146,40,1,1
31146,64,1,1
31149,40,1,1
31149,64,1,1
31152,40,1,1
31152,59,1,1
31155,40,1,1
31155,59,1,1
31158,40,1,1
31158,59,1,1
31159,40,1,1
31159,64,1,1
31162,40,1,1
31162,59,1,1
31164,40,1,1
31164,59,1,1
31165,40,1,1
31165,59,1,1
31167,40,1,1
31167,59,1,1
31170,40,1,1
31170,59,1,1
31173,40,1,1
31173,59,1,1
31176,40,1,1
31176,59,1,1
31179,40,1,1
31179,59,1,1
31180,40,1,1
31180,59,1,1
31182,40,1,1
31182,59,1,1
31183,40,1,1
31183,59,1,1
31186,40,1,1
31186,59,1,1
31188,40,1,1
31188,59,1,1
31191,40,1,1
31191,59,1,1
31192,40,1,1
31192,59,1,1
31195,40,1,1
31195,64,1,1
31198,40,1,1
31198,622,1,1
31198,786,1,1
31200,40,1,1
31200,242,1,1
31200,777,1,1
31201,40,1,1
31201,64,1,1
31203,40,1,1
31203,690,1,1
31203,691,1,1
31204,40,1,1
31204,604,1,1
31204,607,1,1
31206,12,1,1
31206,40,1,1
31209,12,1,1
31209,40,1,1
31212,12,1,1
31212,40,1,1
31213,40,1,1
31213,789,1,1
31213,790,1,1
31215,40,1,1
31215,64,1,1
31218,40,1,1
31218,64,1,1
31219,40,1,1
31219,802,1,1
31219,805,1,1
31221,40,1,1
31221,817,1,1
31221,822,1,1
31222,40,1,1
31222,369,1,1
31225,40,1,1
31225,369,1,1
31228,40,1,1
31228,369,1,1
31230,40,1,1
31230,369,1,1
31233,40,1,1
31233,369,1,1
31236,40,1,1
31236,369,1,1
31239,40,1,1
31239,369,1,1
31242,40,1,1
31242,361,1,1
31245,40,1,1
31245,407,1,1
31246,40,1,1
31246,64,1,1
31248,40,1,1
31248,175,1,1
31249,40,1,1
31249,579,1,1
31249,582,1,1
31251,40,1,1
31251,780,1,1
31251,783,1,1
31254,40,1,1
31254,643,1,1
31254,646,1,1
31257,40,1,1
31257,472,1,1
31257,784,1,1
31260,40,1,1
31260,417,1,1
31261,40,1,1
31261,808,1,1
31261,811,1,1
31264,40,1,1
31264,762,1,1
31266,12,1,1
31266,40,1,1
31269,12,1,1
31269,40,1,1
31272,12,1,1
31272,40,1,1
31273,12,1,1
31273,40,1,1
31275,12,1,1
31275,40,1,1
31278,40,1,1
31278,64,1,1
31281,40,1,1
31281,387,1,1
31282,40,1,1
31282,401,1,1
31285,40,1,1
31285,64,1,1
31288,40,1,1
31288,537,1,1
31291,40,1,1
31291,216,1,1
31291,230,1,1
31293,40,1,1
31293,798,1,1
31293,801,1,1
31294,12,1,1
31294,40,1,1
31296,12,1,1
31296,40,1,1
31297,12,1,1
31297,40,1,1
31299,12,1,1
31299,40,1,1
31302,40,1,1
31302,624,1,1
31305,40,1,1
31305,59,1,1
31308,40,1,1
31308,59,1,1
31311,40,1,1
31311,59,1,1
31312,40,1,1
31312,59,1,1
31315,40,1,1
31315,765,1,1
31315,768,1,1
31318,12,1,1
31318,40,1,1
31320,40,1,1
31320,59,1,1
31323,12,1,1
31323,40,1,1
31326,40,1,1
31326,622,1,1
31326,786,1,1
31327,12,1,1
31327,40,1,1
31329,12,1,1
31329,40,1,1
31332,40,1,1
31332,59,1,1
31335,40,1,1
31335,604,1,1
31335,607,1,1
31338,40,1,1
31338,59,1,1
31339,40,1,1
31339,59,1,1
31342,40,1,1
31342,780,1,1
31342,783,1,1
31344,40,1,1
31344,789,1,1
31344,790,1,1
31345,40,1,1
31345,690,1,1
31345,691,1,1
31347,40,1,1
31347,643,1,1
31347,646,1,1
31348,40,1,1
31348,59,1,1
31351,40,1,1
31351,369,1,1
31354,40,1,1
31354,369,1,1
31357,40,1,1
31357,369,1,1
31359,40,1,1
31359,369,1,1
31362,40,1,1
31362,369,1,1
31365,40,1,1
31365,369,1,1
31368,40,1,1
31368,369,1,1
31369,40,1,1
31369,361,1,1
31371,40,1,1
31371,407,1,1
31372,40,1,1
31372,59,1,1
31374,12,1,1
31374,40,1,1
31377,12,1,1
31377,40,1,1
31378,12,1,1
31378,40,1,1
31380,12,1,1
31380,40,1,1
31383,40,1,1
31383,817,1,1
31383,822,1,1
31386,40,1,1
31386,59,1,1
31389,40,1,1
31389,175,1,1
31392,40,1,1
31392,242,1,1
31395,40,1,1
31395,579,1,1
31395,582,1,1
31396,40,1,1
31396,808,1,1
31396,811,1,1
31399,40,1,1
31399,387,1,1
31402,40,1,1
31402,401,1,1
31405,40,1,1
31405,472,1,1
31405,784,1,1
31407,40,1,1
31407,417,1,1
31408,40,1,1
31408,108,1,1
31411,40,1,1
31411,537,1,1
31414,40,1,1
31414,216,1,1
31414,230,1,1
31416,40,1,1
31416,798,1,1
31416,801,1,1
31419,40,1,1
31419,624,1,1
31420,40,1,1
31420,108,1,1
31423,40,1,1
31423,108,1,1
31426,40,1,1
31426,604,1,1
31426,607,1,1
31428,40,1,1
31428,765,1,1
31428,768,1,1
31431,40,1,1
31431,622,1,1
31431,786,1,1
31432,40,1,1
31432,108,1,1
31435,40,1,1
31435,762,1,1
31437,40,1,1
31437,108,1,1
31438,40,1,1
31438,108,1,1
31441,40,1,1
31441,789,1,1
31441,790,1,1
31443,12,1,1
31443,40,1,1
31444,12,1,1
31444,40,1,1
31446,40,1,1
31446,780,1,1
31446,783,1,1
31449,12,1,1
31449,40,1,1
31452,40,1,1
31452,690,1,1
31452,691,1,1
31458,40,1,1
31458,643,1,1
31458,646,1,1
31459,40,1,1
31459,817,1,1
31459,822,1,1
31461,40,1,1
31461,361,1,1
31464,40,1,1
31464,59,1,1
31467,40,1,1
31467,59,1,1
31468,40,1,1
31468,59,1,1
31470,40,1,1
31470,407,1,1
31473,40,1,1
31473,59,1,1
31476,40,1,1
31476,59,1,1
31479,40,1,1
31479,59,1,1
31480,12,1,1
31480,40,1,1
31483,40,1,1
31483,579,1,1
31483,582,1,1
31486,40,1,1
31486,175,1,1
31488,40,1,1
31488,369,1,1
31491,40,1,1
31491,369,1,1
31494,40,1,1
31494,369,1,1
31495,40,1,1
31495,369,1,1
31498,40,1,1
31498,369,1,1
31501,40,1,1
31501,369,1,1
31504,40,1,1
31504,369,1,1
31506,40,1,1
31506,472,1,1
31506,784,1,1
31507,40,1,1
31507,417,1,1
31510,40,1,1
31510,808,1,1
31510,811,1,1
31512,40,1,1
31512,387,1,1
31513,40,1,1
31513,401,1,1
31516,12,1,1
31516,40,1,1
31518,12,1,1
31518,40,1,1
31519,40,1,1
31519,798,1,1
31519,801,1,1
31521,40,1,1
31521,604,1,1
31521,607,1,1
31522,40,1,1
31522,216,1,1
31525,40,1,1
31525,537,1,1
31528,40,1,1
31528,624,1,1
31531,40,1,1
31531,242,1,1
31534,40,1,1
31534,622,1,1
31534,786,1,1
31536,40,1,1
31536,765,1,1
31536,768,1,1
31537,12,1,1
31537,40,1,1
31540,12,1,1
31540,40,1,1
31543,12,1,1
31543,40,1,1
31545,40,1,1
31545,789,1,1
31545,790,1,1
31548,40,1,1
31548,690,1,1
31548,691,1,1
31549,40,1,1
31549,643,1,1
31549,646,1,1
31551,40,1,1
31551,780,1,1
31551,783,1,1
31552,40,1,1
31552,59,1,1
31554,40,1,1
31554,59,1,1
31557,40,1,1
31557,59,1,1
31558,40,1,1
31558,59,1,1
31560,40,1,1
31560,59,1,1
31561,40,1,1
31561,59,1,1
31564,40,1,1
31564,59,1,1
31567,40,1,1
31567,417,1,1
31570,40,1,1
31570,472,1,1
31570,784,1,1
31573,12,1,1
31573,40,1,1
31575,40,1,1
31575,817,1,1
31575,822,1,1
31576,40,1,1
31576,175,1,1
31579,40,1,1
31579,579,1,1
31579,582,1,1
31582,40,1,1
