publisher_dim.publisher_key,publisher_dim.publisher_id,publisher_dim.publisher_name,publisher_dim.publisher_addr,publisher_dim.publisher_website,publisher_dim.ordering,publisher_dim.status,publisher_dim.created_time,publisher_dim.created_by,publisher_dim.updated_time,publisher_dim.updated_by,publisher_dim.cmc_id,publisher_dim.valid_from,publisher_dim.valid_to,publisher_dim.version,publisher_dim.current,publisher_dim.last_mofidied
40,56,NXB Kim Đồng,N/A,N/A,0,ACT,2015-11-02 14:16:29.0,1,2015-11-02 14:16:29.0,1,56,2000-01-01 00:00:00.0,2200-01-01 00:00:00.0,1,1,2016-06-13 09:47:20.0
41,63,NXB Công An Nhân Dân,N/A,N/A,0,ACT,2015-11-02 14:17:49.0,1,2015-11-02 14:17:49.0,1,63,2000-01-01 00:00:00.0,2200-01-01 00:00:00.0,1,1,2016-06-13 09:47:20.0
42,70,NXB Đại Học Kinh Tế Quốc Dân,N/A,N/A,0,ACT,2015-11-02 14:20:03.0,1,2015-11-02 14:20:03.0,1,70,2000-01-01 00:00:00.0,2200-01-01 00:00:00.0,1,1,2016-06-13 09:47:20.0
43,79,NXB Mỹ Thuật,N/A,N/A,0,ACT,2015-11-02 14:22:56.0,1,2015-11-02 14:22:56.0,1,79,2000-01-01 00:00:00.0,2200-01-01 00:00:00.0,1,1,2016-06-13 09:47:20.0
44,86,NXB Thuận Hóa,N/A,N/A,0,ACT,2015-11-02 14:28:19.0,1,2015-11-02 14:28:19.0,1,86,2000-01-01 00:00:00.0,2200-01-01 00:00:00.0,1,1,2016-06-13 09:47:20.0
45,28,NXB Văn Hóa Văn Nghệ TPHCM,N/A,N/A,0,ACT,2015-09-21 11:32:13.0,1,2015-11-02 14:48:22.0,1,28,2000-01-01 00:00:00.0,2200-01-01 00:00:00.0,1,1,2016-06-13 09:47:20.0
46,105,NXB ĐHSP,N/A,N/A,0,ACT,2015-11-23 16:15:17.0,1,2015-11-23 16:15:17.0,1,105,2000-01-01 00:00:00.0,2200-01-01 00:00:00.0,1,1,2016-06-13 09:47:20.0
47,34,Đang cập nhật,N/A,N/A,0,DEL,2015-09-24 10:57:50.0,1,2015-09-24 10:57:50.0,1,34,2015-09-24 00:00:00.0,2200-01-01 00:00:00.0,2,1,2016-06-13 09:47:17.0
48,110,Thể thao văn hóa,N/A,N/A,0,ACT,2016-07-07 13:35:48.0,4,2016-07-07 13:35:48.0,4,110,2000-01-01 00:00:00.0,2200-01-01 00:00:00.0,1,1,2016-07-22 16:10:03.0
49,114,NXB Thông Tấn,N/A,N/A,0,ACT,2016-09-06 15:16:28.0,141,2016-09-06 15:16:28.0,141,114,2000-01-01 00:00:00.0,2200-01-01 00:00:00.0,1,1,2016-09-12 09:36:45.0
50,125,NXB Công Thương,N/A,N/A,0,ACT,2017-05-23 14:48:43.0,214,2017-05-23 14:48:43.0,214,125,2000-01-01 00:00:00.0,2200-01-01 00:00:00.0,1,1,2017-06-06 13:51:34.0
51,97,NXB Thông Tin Và Truyền Thông,N/A,N/A,0,ACT,2015-11-02 14:39:48.0,214,2015-11-02 14:39:48.0,214,97,2000-01-01 00:00:00.0,2200-01-01 00:00:00.0,1,1,2018-09-10 23:22:06.0
52,117,NXB Văn Nghệ TP.HCM,N/A,N/A,0,ACT,2016-09-07 15:56:47.0,141,2016-09-07 15:56:47.0,141,117,2000-01-01 00:00:00.0,2200-01-01 00:00:00.0,1,1,2018-09-10 23:22:06.0
53,122,NXB Phương Nam books,N/A,N/A,0,ACT,2017-04-20 11:34:11.0,214,2017-04-20 11:34:36.0,214,122,2000-01-01 00:00:00.0,2200-01-01 00:00:00.0,1,1,2018-09-10 23:22:06.0
54,126,NXB Y học,N/A,N/A,0,ACT,2017-06-05 11:47:55.0,214,2017-06-05 11:47:55.0,214,126,2000-01-01 00:00:00.0,2200-01-01 00:00:00.0,1,1,2018-09-10 23:22:06.0
