publishing_house_dim.publishing_house_key,publishing_house_dim.publishing_house_id,publishing_house_dim.publishing_house_name,publishing_house_dim.publishing_house_addr,publishing_house_dim.publishing_house_website,publishing_house_dim.ordering,publishing_house_dim.status,publishing_house_dim.created_time,publishing_house_dim.created_by,publishing_house_dim.updated_time,publishing_house_dim.updated_by,publishing_house_dim.cmc_id,publishing_house_dim.valid_from,publishing_house_dim.valid_to,publishing_house_dim.version,publishing_house_dim.current,publishing_house_dim.last_mofidied
337,726,Cô vợ siêu sao_顾少的影后娇妻,N/A,N/A,0,ACT,2020-07-02 13:48:56.0,214,2020-07-13 14:41:34.0,214,726,2000-01-01 00:00:00.0,2200-01-01 00:00:00.0,1,1,2021-09-17 20:34:55.0
338,729,Yêu tinh quán_妖精食堂的秘密,N/A,N/A,0,ACT,2020-07-02 13:52:27.0,214,2020-08-21 16:51:17.0,214,729,2000-01-01 00:00:00.0,2200-01-01 00:00:00.0,1,1,2021-09-17 20:34:55.0
339,730,Thú Lạ Team_Yêu tinh quán_FLC,N/A,N/A,0,ACT,2020-07-02 13:53:18.0,214,2020-07-02 13:53:18.0,214,730,2000-01-01 00:00:00.0,2200-01-01 00:00:00.0,1,1,2021-09-17 20:34:55.0
340,732,Vương Hằng_Cô vợ siêu sao_FLC,N/A,N/A,0,ACT,2020-07-02 13:53:55.0,214,2020-07-02 13:53:55.0,214,732,2000-01-01 00:00:00.0,2200-01-01 00:00:00.0,1,1,2021-09-17 20:34:55.0
341,735,Nhan Húc Quân,N/A,N/A,0,ACT,2020-07-13 17:27:34.0,214,2020-07-13 17:27:34.0,214,735,2000-01-01 00:00:00.0,2200-01-01 00:00:00.0,1,1,2021-09-17 20:34:55.0
342,738,VegaMedia_Hành tẩu ÂD_Audio_TB_052020,N/A,N/A,0,ACT,2020-07-23 15:59:27.0,214,2020-07-23 15:59:27.0,214,738,2000-01-01 00:00:00.0,2200-01-01 00:00:00.0,1,1,2021-09-17 20:34:55.0
343,739,VegaMedia_Hoàng Hà PYT_Audio_TB_062020,N/A,N/A,0,ACT,2020-07-23 15:59:55.0,214,2020-07-23 15:59:55.0,214,739,2000-01-01 00:00:00.0,2200-01-01 00:00:00.0,1,1,2021-09-17 20:34:55.0
344,741,VegaMedia_Mộ Khâu Tử_Audio_TB_062020,N/A,N/A,0,ACT,2020-07-23 16:00:06.0,214,2020-07-23 16:00:06.0,214,741,2000-01-01 00:00:00.0,2200-01-01 00:00:00.0,1,1,2021-09-17 20:34:55.0
345,744,Nguyễn Thanh Huyền_Sơ Cửu CLH_Audio_BL_082020,N/A,N/A,0,ACT,2020-07-23 16:00:16.0,214,2020-07-23 16:02:23.0,214,744,2000-01-01 00:00:00.0,2200-01-01 00:00:00.0,1,1,2021-09-17 20:34:55.0
346,747,Nguyễn Thanh Huyền_Tình nhân ĐCTG_Audio_TB_082020,N/A,N/A,0,ACT,2020-07-23 16:00:26.0,214,2020-07-23 16:00:26.0,214,747,2000-01-01 00:00:00.0,2200-01-01 00:00:00.0,1,1,2021-09-17 20:34:55.0
347,750,Nguyễn Thanh Huyền_Hoa hồng trắng_Audio_BL_082020,N/A,N/A,0,ACT,2020-07-23 16:00:42.0,214,2020-07-23 16:00:42.0,214,750,2000-01-01 00:00:00.0,2200-01-01 00:00:00.0,1,1,2021-09-17 20:34:55.0
348,753,Lê Bá Long_Mộ Khâu Tử_Audio_TB_082020,N/A,N/A,0,ACT,2020-07-23 16:00:57.0,214,2020-08-22 15:04:04.0,214,753,2000-01-01 00:00:00.0,2200-01-01 00:00:00.0,1,1,2021-09-17 20:34:55.0
349,754,Lê Bá Long_Hoàng đế CMĐT_Audio_BL_082020,N/A,N/A,0,ACT,2020-07-23 16:01:09.0,214,2020-07-23 16:01:09.0,214,754,2000-01-01 00:00:00.0,2200-01-01 00:00:00.0,1,1,2021-09-17 20:34:55.0
350,756,Lê Bá Long_Nam thần KTĐ_Audio_BL_082020,N/A,N/A,0,ACT,2020-07-23 16:01:20.0,214,2020-07-23 16:01:20.0,214,756,2000-01-01 00:00:00.0,2200-01-01 00:00:00.0,1,1,2021-09-17 20:34:55.0
351,757,Đào T.Minh Thu_Mỹ nhân QHH_Audio_BL_082020,N/A,N/A,0,ACT,2020-07-23 16:01:32.0,214,2020-07-23 16:01:32.0,214,757,2000-01-01 00:00:00.0,2200-01-01 00:00:00.0,1,1,2021-09-17 20:34:55.0
352,759,Đào T.Minh Thu_Ổ đàn bà_Audio_BL_082020,N/A,N/A,0,ACT,2020-07-23 16:01:43.0,214,2020-07-23 16:01:43.0,214,759,2000-01-01 00:00:00.0,2200-01-01 00:00:00.0,1,1,2021-09-17 20:34:55.0
353,760,Đào T.Minh Thu_Hứa với em MĐHN_Audio_TB_082020,N/A,N/A,0,ACT,2020-07-23 16:01:55.0,214,2020-07-23 16:01:55.0,214,760,2000-01-01 00:00:00.0,2200-01-01 00:00:00.0,1,1,2021-09-17 20:34:55.0
354,762,Cách Một Cánh Cửa_一门之隔  ,N/A,N/A,0,ACT,2020-08-03 11:18:05.0,214,2020-08-03 11:18:05.0,214,762,2000-01-01 00:00:00.0,2200-01-01 00:00:00.0,1,1,2021-09-17 20:34:55.0
355,763,Chuối gỗ_Hoàng hà PYT_Audio_TB_062020,N/A,N/A,0,ACT,2020-08-03 17:19:16.0,214,2020-08-03 17:19:16.0,214,763,2000-01-01 00:00:00.0,2200-01-01 00:00:00.0,1,1,2021-09-17 20:34:55.0
356,765,Tội ác vô hình_罪恶无形 ,N/A,N/A,0,ACT,2020-08-10 15:36:30.0,214,2020-08-10 15:36:30.0,214,765,2000-01-01 00:00:00.0,2200-01-01 00:00:00.0,1,1,2021-09-17 20:34:55.0
357,768,Huệ Trần_Tội ác VH_FLC_TB_092020,N/A,N/A,0,ACT,2020-08-10 15:39:37.0,214,2020-09-04 17:00:43.0,214,768,2000-01-01 00:00:00.0,2200-01-01 00:00:00.0,1,1,2021-09-17 20:34:55.0
358,771,Thất duyên kiếp_仙尊又在撩我,N/A,N/A,0,ACT,2020-09-04 16:56:16.0,214,2020-09-04 16:56:16.0,214,771,2000-01-01 00:00:00.0,2200-01-01 00:00:00.0,1,1,2021-09-17 20:34:55.0
